gene_set,AUROC,within_AUROC
telomere panel,0.8922527464014007,0.7112888363710187
random_0,0.8850721490660133,0.6830424033512053
random_1,0.87967784706036,0.6755180991271249
random_2,0.8900962430247049,0.694677372964904
random_3,0.8791593344445109,0.6793251481449267
random_4,0.8861759113537109,0.6993691545595957
random_5,0.8819434760377446,0.6807573367984372
random_6,0.8793142795164829,0.6828929501242084
random_7,0.882462320678748,0.6857611420555458
random_8,0.881823836307172,0.6786948533405068
random_9,0.8774094512066901,0.668449523675421
random_10,0.8818096699005916,0.67330486013088
random_11,0.8791335471575327,0.6652782022985461
random_12,0.8773326427210125,0.675535350066315
random_13,0.8829518364311281,0.6936279884611604
random_14,0.8853441883423755,0.6988244273353927
random_15,0.8904898035075137,0.7207073090119012
random_16,0.8779040580114349,0.6722766556242081
random_17,0.8830313011180394,0.6864871145787758
random_18,0.8826098505222756,0.692606892744233
random_19,0.8866591186281606,0.6902476203864301
random_20,0.8779959183041041,0.6631436882946851
random_21,0.8802238070889584,0.6818291058867578
random_22,0.885479765280351,0.6992426907241257
random_23,0.8870324255765617,0.6991954269695364
random_24,0.8836719989906435,0.6888697438794587
random_25,0.8885500018814759,0.6977232842616927
random_26,0.8860811735097051,0.703395303425015
random_27,0.8806621909675877,0.6795296291534086
random_28,0.8755797712568038,0.6484139142690105
random_29,0.8851783971153655,0.7016891776477638
random_30,0.8864673187640696,0.7009826185711695
random_31,0.875739143330832,0.6489384767599102
random_32,0.8767900029439564,0.65225778657541
random_33,0.8804716085290621,0.6791883656642376
random_34,0.8864019098086872,0.6927351700843547
random_35,0.8854384834861756,0.6875956269206247
random_36,0.8807590316375702,0.6758627969268951
random_37,0.8823946982223373,0.6805355294411781
random_38,0.8781235266383781,0.6656629231861534
random_39,0.8919403107312743,0.7176001592467326
random_40,0.881638012895857,0.6893340461981079
random_41,0.8852814355882268,0.6924776529780976
random_42,0.8850316419971977,0.6920347343097321
random_43,0.8817605301777662,0.6729444762543847
random_44,0.8768586214758297,0.6668043376013922
random_45,0.8888586745998543,0.7090650702311542
random_46,0.8822276895697618,0.6803171404028507
random_47,0.8800356595015638,0.6658831186989175
random_48,0.8797549875711917,0.6652645666049058
random_49,0.8783894787869129,0.6695486709381223
random_50,0.8786398257531991,0.6729514475343681
random_51,0.875945552301709,0.6583378742622404
random_52,0.8833366535848756,0.6833936441101827
random_53,0.8835290068242236,0.6817355890350827
random_54,0.8787314646957654,0.6587916135238154
random_55,0.8882095654233432,0.7099143104975397
random_56,0.8820637798186257,0.6890888276215821
random_57,0.8787290298446344,0.66311396374391
random_58,0.8806331941041187,0.6691194212853859
random_59,0.8793604310129202,0.680445725728848
random_60,0.8853651059270917,0.6959328114135186
random_61,0.8781550690280295,0.6667228705895786
random_62,0.884749199266003,0.694763689948587
random_63,0.8769119668506086,0.6714674105839645
random_64,0.8796691037312987,0.6746506594580531
random_65,0.8785703218209144,0.6683685352012464
random_66,0.879836887109234,0.6813680628034523
random_67,0.8923405117171677,0.7150970819781174
random_68,0.8874090527765051,0.7052092232991335
random_69,0.8817970529447311,0.684837576951288
random_70,0.8778042291150644,0.6625669857875147
random_71,0.8753407131457612,0.6593364645739117
random_72,0.884132628554606,0.686811048066148
random_73,0.8825842845854002,0.696609727242626
random_74,0.8822542515820999,0.6829479908937561
random_75,0.879427832119228,0.6752899405915286
random_76,0.8799788832001912,0.6705315085982453
random_77,0.883212144152041,0.6917559546615232
random_78,0.8764013121634096,0.6555915270079018
random_79,0.8791552394676088,0.6668683921566415
random_80,0.8731615213835267,0.6327812763372916
random_81,0.8803194303333753,0.6780304691219049
random_82,0.8841512219632426,0.6888120225184101
random_83,0.8729927419301287,0.6422868614622899
random_84,0.8830859745934352,0.6968307485701586
random_85,0.8817979383451423,0.6784086028301002
random_86,0.8829345711231082,0.6910245478101771
random_87,0.8781746585121288,0.6632643733829342
random_88,0.8833006841931678,0.6906966501188804
random_89,0.8799210001483045,0.6697341467998421
random_90,0.8791896594085968,0.6631489518972423
random_91,0.8821850796749695,0.6770888500210697
random_92,0.8858615942077105,0.6847838876216407
random_93,0.8762188090036368,0.6538890185958756
random_94,0.8862221735251996,0.6880007432168724
random_95,0.8806918518813652,0.6778210494031067
random_96,0.8815819006447928,0.6874474589201269
random_97,0.884843715759906,0.6952171744662712
random_98,0.8884783951232146,0.7038397499803478
random_99,0.8824132916309739,0.6755996239752045
random_100,0.8796271578868149,0.6670619429202371
random_101,0.8801847387958112,0.6759166514579812
random_102,0.8778751718230173,0.6688168339722278
random_103,0.8797581971476826,0.67532973989781
random_104,0.8830439180738999,0.6823216726386038
random_105,0.8840205147275291,0.6890934224345164
random_106,0.8788929395957704,0.6543021785908814
random_107,0.8854016286940565,0.7048731153235529
random_108,0.8804188165295402,0.6771050101807099
random_109,0.8856865062763821,0.7024883814061952
random_110,0.8901485923240211,0.7171501125434674
random_111,0.8860220730322529,0.7073010308699643
random_112,0.8795339694935288,0.6739928722538395
random_113,0.8778673138943673,0.6550745182756313
random_114,0.8857244678190153,0.6830617148920338
random_115,0.8773681694125147,0.6654140391712956
random_116,0.8888129658036226,0.7027632944721307
random_117,0.8788279733405936,0.6750529254026171
random_118,0.8819553182682454,0.6904749454102924
random_119,0.8784129418978115,0.6649980292226603
random_120,0.8790879490363523,0.6803588887954193
random_121,0.8835036622374511,0.6849662891222853
random_122,0.8845612730287113,0.6980644629637096
