model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,alt_noATRX,0.639536870076872,0.3666441519611844,0.10116731517509728,0.480150020878758,0.4830577298567553,0.47423887587822017,0.6202231027174084,0.6583502578216445,0.0,0.4355126930572359,0.5257175813841531,0.0,0.34375991939703326,0.4003179640251969,1.4593890245118147e-05,,,,,,,,,,,,,,,,,,,,,,872,257,0.305079698562622
LR (panel),alt_noATRX,0.8731517509727627,0.7079348498593484,0.603112840466926,0.8355462204307615,0.9023724361964992,0.6996937488740768,0.8515646452184367,0.8959737116826422,0.00540556598584606,0.8069678549555642,0.8660841169155664,0.006834558255085046,0.6566756052719745,0.7717275387455785,0.009621696582771498,0.23416362974913796,0.20437244946379426,0.26437830185694855,0.0,0.20961785454430426,0.2590689949701053,False,0.35621928634351285,0.2997868135376366,0.4094792299350196,0.0,0.31153376744587113,0.4019863394351718,False,0.3428243741302739,0.28143054163655884,0.40704857801029803,0.0,0.2899548838775135,0.3955785613717306,False,872,257,10.733917474746704
Elastic net (panel),alt_noATRX,0.872278637183259,0.7072522269433237,0.6303501945525292,0.8332843388617182,0.903340072227118,0.6908665105386417,0.8508675777419252,0.8952948340767455,0.005147699632695681,0.8044536167825606,0.8640974886140517,0.00713114333113675,0.6567069613603812,0.7711072554600881,0.008568280340854004,0.23328501787352504,0.20248829521369155,0.2626300971180918,0.0,0.20856110214798648,0.2583238429660561,False,0.3539391234984467,0.29840536648790333,0.40661579385947016,0.0,0.30838231727603377,0.39881789493143266,False,0.34196307299452294,0.2820385464198835,0.4042270673779808,0.0,0.28993741474658274,0.39584656609411945,False,872,257,31.20566177368164
GBM (panel),alt_noATRX,0.8922084084654076,0.7524075758794997,0.6614785992217899,0.8536451684171011,0.9037202149534325,0.7518465141415961,0.8730263199519154,0.9112577900098067,0.008378079318497444,0.8260810884292741,0.881102464674045,0.008983586128051944,0.7049026817782785,0.8044986191928594,0.011447316115004411,0.25327129480244215,0.22649868716586005,0.278681708898801,0.0,0.23180285343709472,0.2753263104615482,False,0.37424559833613896,0.32338054630509,0.4235395197614301,0.0,0.3320219526041896,0.4157424303035722,False,0.38516364505397876,0.3288918235512169,0.4381156076406488,0.0,0.33655124245680446,0.43045451221061887,False,872,257,10.017055034637451
Linear SVM (panel),alt_noATRX,0.8711840814906203,0.7020380954243263,0.5797665369649806,0.8346826179052812,0.9011283327285609,0.6996036750135111,0.8491458669450508,0.8940068330644396,0.004252493404080138,0.8055622354701705,0.8652052990738084,0.005243101876074866,0.6517089419767694,0.7660481664098874,0.00917538993649884,0.23221520673183385,0.20233320679510303,0.26238018411312514,0.0,0.20752507038689066,0.25711334661984747,False,0.3553160758446104,0.2990262443121973,0.40911337962039507,0.0,0.3097780901351333,0.4006912018456299,False,0.33688120875980176,0.2751797266984505,0.3998837750765503,0.0,0.2825416998560989,0.3903558539643953,False,872,257,4.933046340942383
LR (whole transcriptome),alt_noATRX,0.9499667837145298,0.8561448231586477,0.8871595330739299,0.9267936450862277,0.9461234081523335,0.8874977481534858,0.9372289709278415,0.9619452089462529,0.0012601289197230606,0.9083572765299849,0.9453413120333395,0.0016579952191475191,0.8177653954709229,0.8965726464776549,0.0025219946441834853,0.31104127360728867,0.28710717788111734,0.33319295498402446,0.0,0.2916353484546519,0.3303724969156306,False,0.44747801380406177,0.3980201815657164,0.49383754599821783,0.0,0.40761176242234026,0.48745064885423367,False,0.4877733242975678,0.4367678806715431,0.535992661109294,0.0,0.4440944758115628,0.5269312021927427,False,872,257,
