model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[ACC],AUROC[BLCA],AUROC[BRCA],AUROC[CHOL],AUROC[ESCA],AUROC[GBM],AUROC[HNSC],AUROC[KICH],AUROC[KIRC],AUROC[KIRP],AUROC[LAML],AUROC[LGG],AUROC[LIHC],AUROC[LUAD],AUROC[PAAD],AUROC[PCPG],AUROC[PRAD],AUROC[SARC],AUROC[SKCM],AUROC[STAD],AUROC[THCA],AUROC[UVM],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,tel_no5p,0.8556535029760521,0.9330479840507915,0.5800804828973843,0.4698434862498692,0.42684766214177977,0.38890796703296704,0.49068865916692006,0.3712121212121212,0.37771260997067446,0.5015756302521008,0.5093560606060606,0.3451178451178451,0.4864519427402863,0.4610562310030395,0.4003634161114476,0.4915469631378722,0.4569805194805195,0.49366515837104075,0.458460754332314,0.5078703703703704,0.4796734483266991,0.4894050855589317,0.4345644903300858,0.4910204081632653,0.4750561109977556,0.46339869281045754,0.8548422839014284,0.8565203362640087,6.305344271360905e-05,0.44899510798244957,0.4929356198018172,6.43765976035565e-05,0.9325649316441869,0.933669007513504,0.00017517033906968118,,,,,,,,,,,,,,,,,,,,,,6788,4970,1.0178449153900146
LR (panel),tel_no5p,0.8922682409085979,0.9521316427018399,0.6615694164989939,0.7114190380159456,0.7413273001508296,0.5779532967032966,0.689147808713026,0.5984848484848485,0.797067448680352,0.6980042016806722,0.6292424242424243,0.7407407407407407,0.6653188324967466,0.8398556231003039,0.774076317383404,0.8768857405221041,0.7593795093795094,0.7159502262443439,0.6414373088685015,0.549074074074074,0.6468376824413976,0.7542779465856388,0.6540642722117203,0.8367346938775511,0.7593688362919132,0.7483660130718954,0.8870387119194817,0.8972087945716101,0.0005917714609310452,0.6890577179042645,0.7321309065829612,0.0036622407777287765,0.9489664147459578,0.9550791062945219,0.00044749611610685804,0.03656490250634722,0.03138901201488358,0.04156471142587104,0.0,0.03232500614246543,0.040773115037861934,False,0.24135709552150525,0.2115405844001566,0.27138867552461426,0.0,0.21520598450767311,0.26600413893969405,False,0.019014806312480332,0.01590402227439594,0.022030081524243437,0.0,0.01640596884513946,0.021652293957135166,False,6788,4970,48.16587018966675
Elastic net (panel),tel_no5p,0.8922013931775471,0.9520495524028725,0.6561368209255534,0.7113198129580206,0.7375565610859729,0.5807005494505495,0.6902553967771359,0.6098484848484849,0.7941348973607039,0.6974789915966386,0.6328787878787879,0.7222222222222222,0.6654582636177728,0.8377659574468085,0.7710478497880072,0.875590318772137,0.7597402597402597,0.7157239819004525,0.6439857288481141,0.5509259259259259,0.6459162612413386,0.75227890612506,0.6549367456739857,0.8322448979591837,0.759436849622526,0.7470588235294118,0.8868809446336988,0.8973044288835322,0.0007943117008864154,0.688738812299002,0.7311636518679455,0.0032932486397741923,0.9489042151839977,0.9550835829467857,0.0005305136201403271,0.03650499144481852,0.031215575908697453,0.04153144942260827,0.0,0.03226423170486069,0.0407481024762436,False,0.24126472104009042,0.21116919930177272,0.27077302681623683,0.0,0.21515180033940817,0.2665720187206388,False,0.018935046278276784,0.015751602861445852,0.022014514819152575,0.0,0.01626084654462533,0.02154985988602636,False,6788,4970,475.3194427490234
GBM (panel),tel_no5p,0.8948392223528188,0.9524007466805775,0.6742454728370222,0.7230015887811314,0.6779788838612368,0.5703983516483516,0.6999196455718195,0.6856060606060606,0.8181818181818182,0.6460084033613446,0.651439393939394,0.7676767676767676,0.6750790109685815,0.8134498480243161,0.8461538461538461,0.902089072543618,0.7435064935064936,0.7118024132730015,0.6585117227319062,0.5314814814814814,0.7061772077251953,0.7788261634415481,0.7302602879162425,0.7640816326530612,0.7727674624226348,0.7209150326797386,0.889076546739181,0.9002312914893099,0.0007553291198774454,0.6996219239708398,0.7456391329799593,0.004310748734035211,0.9488650331356153,0.9557541148665983,0.000729528152410953,0.039197104629980106,0.0334170659269146,0.044568244173511885,0.0,0.03418726882748633,0.04360385636149132,False,0.25330109704029685,0.22373080284811575,0.2838513698699792,0.0,0.22787651996219144,0.27915607142658944,False,0.01930887106701841,0.01587831719118017,0.02262922897445314,0.0,0.016418454813672774,0.02220145032091076,False,6788,4970,31.84940791130066
Linear SVM (panel),tel_no5p,0.892038258151771,0.9516924428488653,0.6567404426559356,0.7109388808954439,0.7360482654600302,0.5848214285714286,0.6902771141901577,0.6174242424242424,0.782991202346041,0.6911764705882353,0.6218939393939394,0.7457912457912458,0.6643428146495631,0.84080547112462,0.7771047849788008,0.8748196248196248,0.7667748917748918,0.7174585218702866,0.6429663608562691,0.5537037037037037,0.6427465723131358,0.7486006716775948,0.6514468518249237,0.8277551020408164,0.7667822893287084,0.7549019607843137,0.8869914619731591,0.8969759813003433,0.000919352896052158,0.6884583417493403,0.731741246428033,0.003318468113731473,0.9484045178877302,0.9547360791045063,0.0005733860212965974,0.03633533190341167,0.031229083798721895,0.041252124960987076,0.0,0.03216406801645959,0.04053093312349351,False,0.24089990125515845,0.21111654134223828,0.2707157271629764,0.0,0.21457675196460363,0.26575414032671035,False,0.018573345897259244,0.015357322039001383,0.021687315020174208,0.0,0.015894515153162085,0.02114425116516545,False,6788,4970,23.903276205062863
LR (whole transcriptome),tel_no5p,0.924637151843957,0.9691619350169325,0.7625754527162978,0.8083991609168395,0.797134238310709,0.6900755494505495,0.784508969291578,0.696969696969697,0.9319648093841643,0.9070378151260504,0.7297727272727272,0.8888888888888888,0.7108198549916341,0.8649316109422492,0.9103573591762568,0.958464515282697,0.8142135642135642,0.7581447963800905,0.731651376146789,0.6773148148148148,0.775062656641604,0.8820566128258436,0.8018031118220155,0.8979591836734694,0.884649391280691,0.7339869281045751,0.9199581897324541,0.9290352179081087,0.0007799884833637991,0.7913357830198304,0.8252038567227169,0.002206616353490563,0.9668457893228218,0.9714254078975433,0.00045259425578537656,0.06892784484685893,0.0640735778809269,0.0735058466862783,0.0,0.06499738806878667,0.07276544027642201,False,0.33874577881378853,0.31009740792480767,0.3663895734750006,0.0,0.31429562944241524,0.3621801019566205,False,0.03604125194327223,0.03374070384590174,0.03828649357628925,0.0,0.03403461221273819,0.03793078134509756,False,6788,4970,
LR (whole transcriptome) [all genes],tel_no5p,0.9249444964617186,0.9692660385447557,0.7678068410462776,0.8096404919856567,0.7956259426847662,0.6978021978021978,0.7853016548668723,0.7007575757575758,0.9290322580645162,0.9101890756302521,0.7318181818181818,0.877104377104377,0.7110057631530025,0.8664513677811551,0.9115687462144155,0.9586284927194018,0.8136724386724387,0.7606334841628959,0.7275739041794088,0.6833333333333333,0.7750257997936016,0.8873340796417719,0.7991856914352189,0.9016326530612245,0.8850914779296742,0.734640522875817,0.9203103162428918,0.9292815667381628,0.0008299125852714264,0.792339504553355,0.8263710582349894,0.0024382634163585635,0.9669489510292144,0.9715105662456923,0.0004760697222603732,0.06923755337304353,0.06446385546502337,0.07372500680651563,0.0,0.06529681942037258,0.07310344465030011,False,0.340024673566343,0.3106012904567308,0.36797313182795366,0.0,0.3155729298630653,0.3635945932783499,False,0.03614455791907406,0.033858395553183464,0.03838000097303095,0.0,0.03411245166722118,0.03807203730830637,False,6788,4970,
"LR (signature, K=60) [all genes]",tel_no5p,0.8879290041680225,0.9499250713157958,0.6501006036217304,0.6678865235434307,0.6093514328808446,0.557864010989011,0.6490683229813664,0.5151515151515151,0.8129032258064516,0.9012605042016807,0.5546212121212121,0.6127946127946128,0.630879345603272,0.6155015197568389,0.8043609933373713,0.9334579561852289,0.6421356421356421,0.7360859728506788,0.586901121304791,0.5930555555555556,0.627045555064131,0.7354070046377739,0.5637632688672386,0.6885714285714286,0.5919540229885057,0.5764705882352941,0.8839717125636105,0.891555748130145,0.0014726086528559302,0.6448831563778882,0.6887972633776887,0.012588201739169143,0.9475370295011888,0.9519652425369949,0.0007470378899812423,0.03217407304110693,0.028252826917500588,0.03596483051222623,0.0,0.028877929291923177,0.035389886071102085,False,0.19767250838929606,0.16600295670180412,0.22419154854443493,0.0,0.17213221269414958,0.22115287451334883,False,0.016801113450558992,0.014375634967563694,0.01891116340679822,0.0,0.014777652485997345,0.018655092467301782,True,6788,4970,
