model,task,Spearman,R2,within_Spearman,Spearman[BLCA],Spearman[BRCA],Spearman[CESC],Spearman[CRC],Spearman[ESCA],Spearman[HNSC],Spearman[KICH],Spearman[KIRC],Spearman[KIRP],Spearman[LAML],Spearman[LGG],Spearman[LIHC],Spearman[LUAD],Spearman[LUSC],Spearman[OV],Spearman[PRAD],Spearman[SARC],Spearman[SKCM],Spearman[STAD],Spearman[THCA],Spearman[UVM],Spearman_lo,Spearman_hi,Spearman_rep_sd,within_Spearman_lo,within_Spearman_hi,within_Spearman_rep_sd,R2_lo,R2_hi,R2_rep_sd,dSpearman_vs_ref,dSpearman_vs_ref_lo,dSpearman_vs_ref_hi,pSpearman_vs_ref,dSpearman_vs_ref_lo90,dSpearman_vs_ref_hi90,equivalentSpearman_vs_ref,dwithin_Spearman_vs_ref,dwithin_Spearman_vs_ref_lo,dwithin_Spearman_vs_ref_hi,pwithin_Spearman_vs_ref,dwithin_Spearman_vs_ref_lo90,dwithin_Spearman_vs_ref_hi90,equivalentwithin_Spearman_vs_ref,dR2_vs_ref,dR2_vs_ref_lo,dR2_vs_ref_hi,pR2_vs_ref,dR2_vs_ref_lo90,dR2_vs_ref_hi90,equivalentR2_vs_ref,n,n_pos,seconds
Cancer type only,tl,0.25135305572262806,0.09627893832990919,-0.39221057749043525,-0.34752038752623376,-0.394993243730342,-0.4729630982827914,-0.554144385026738,-0.5670343718324456,-0.31451125888480336,-0.4766326530612245,-0.49288231148696265,-0.6375350140056023,-0.6424015009380865,-0.45903325173043263,-0.5832835311192691,-0.25777755424734466,-0.39112027789839343,-0.37555397550330744,-0.2960279637869703,-0.40072878233414705,-0.34721978343576243,-0.4225298226143246,-0.24558446776204912,-0.4787995198079231,0.2093542343488015,0.29278885442488745,0.008804360624251443,-0.4310262388617941,-0.34478641884267447,0.015515366269534097,0.0687396189716079,0.12254475402604716,0.0033707408975415395,,,,,,,,,,,,,,,,,,,,,,1698,,0.4545762538909912
LR (panel),tl,0.30385115016291964,0.10015177571853073,0.12213174597774419,0.12620643567363968,0.1369545996232653,0.16397515527950313,0.40875668449197866,0.1859961100305641,0.13038455303672009,0.22734693877551018,0.2307258632840028,0.2683473389355742,-0.13658536585365855,0.2909854238407472,0.08307009305899427,0.25621816002397363,0.04353017802865827,-0.22836196520407048,-0.05100934832678498,0.12064777327935224,0.06504731245732123,0.05690664714884557,0.17228532817122608,-0.06141656662665066,0.2599693236746168,0.34372753922037896,0.011080373909769247,0.07172800579104306,0.16949600956008393,0.015460762997892404,0.06484120514244236,0.13276002508320614,0.013001361254972464,0.05193040161232268,0.013931726431846354,0.09021877154729717,0.012,0.020725986077731066,0.08445234526939017,False,0.5066325885069733,0.444917779529215,0.5671752760301296,0.0,0.45308940223016647,0.5602882800654363,False,0.003559528458545045,-0.022850485542539774,0.030594323023136704,0.782,-0.019419377254206692,0.025046594762709044,False,1698,,1.0839219093322754
Elastic net (panel),tl,-0.08429909085059085,-0.0009525431079626667,-0.0880447653597673,-0.12321413021913996,-0.21197600417069545,-0.012933869199853856,0.20187165775401072,-0.3446886549998279,-0.07133536916049711,0.06479591836734692,-0.19548978153629315,0.46974789915966386,-0.3489681050656661,-0.22541735656346162,-0.23102535644156064,0.05638628598015839,0.04841511072514112,-0.0706899382794687,-0.030385552044450283,0.059820841212296264,-0.15093649400058531,-0.19067758724338255,-0.07699331604514408,-0.04211284513805522,-0.13238374704753264,-0.03770277092587511,0.01350521506459752,-0.13629170451614955,-0.03969246200189465,0.010579127695562237,-0.0033351433903775875,-0.0006316887271755834,0.0005413835010661294,-0.33515741231343466,-0.3999941910491884,-0.275839376249032,0.0,-0.38775484537709703,-0.2848820334176029,False,0.2996960702362366,0.24185781412702692,0.35546963437120566,0.0,0.2481587250027476,0.3488404763455766,False,-0.09685266672498885,-0.12422293439565617,-0.06964059954097081,0.0,-0.12052808237136867,-0.07431939828786463,False,1698,,8.39870023727417
RF (panel),tl,0.32368027255180803,0.11638356011636442,0.18320463450316904,0.24673862416718986,0.1800638142467228,0.07712824260138838,0.22560160427807488,0.0729091414281745,0.23644657742546044,0.1814285714285714,0.17603946441155743,0.25126050420168067,-0.03489681050656661,0.4480116986650313,-0.028429949628617772,0.26677158622019276,0.32902735562310026,-0.10602910602910603,0.2692250372578241,0.07408906882591094,0.1398497707540728,0.19149644021558324,0.08169973859005597,0.13469387755102039,0.28476855882971974,0.362249685936225,0.006741040217523215,0.13350347100568818,0.22899056440580592,0.012780557839119055,0.09326068371950637,0.1374548623466396,0.003992988236925571,0.0723734872103399,0.03275973620480039,0.10909801818321506,0.002,0.04002633420398134,0.10444936206735093,False,0.5679339837081671,0.5031493942380539,0.6280989886283666,0.0,0.5170577223510457,0.6217768946951373,False,0.02041557164684438,-4.2734115241582676e-05,0.03945260182417534,0.052,0.003283096445676226,0.03697762958511739,False,1698,,69.59249019622803
GBM (panel),tl,0.32180789722390224,0.12682959565008867,0.18255847970736216,0.253631963710739,0.2717487410141083,0.055242966751918164,0.17446524064171123,0.18343984440122257,0.22297135316183736,0.21326530612244896,0.05919661733615221,0.39775910364145667,-0.10018761726078801,0.4496155479032029,0.08358234440365404,0.276453244088845,0.2826747720364742,-0.013896487580698105,0.2256808020593415,0.17550607287449393,0.10412642669007902,0.08748087031738638,0.10755375600695005,-0.008019207683073229,0.2812863150326442,0.3617960778160641,0.00511090967722966,0.1354593137856191,0.22616939939175373,0.012760167974374624,0.09880965747125828,0.1542267793214195,0.002673231643135999,0.07069512102999638,0.023530576159901243,0.11279601690289977,0.01,0.03354889699499281,0.10725048296181001,False,0.566858997030481,0.5035696412130818,0.6261642255433041,0.0,0.5154002246899654,0.617789516927335,False,0.0308227406936535,0.00677455336895387,0.054840617513560536,0.02,0.011634064603167571,0.051113523699868726,False,1698,,12.150942087173462
MLP (panel),tl,0.31025339874970154,0.11257095817090756,0.1417865771398281,0.14796379174176305,0.11706454465075156,0.11563755937157473,0.16510695187165778,0.08746874131703251,0.21725888093079962,0.21857142857142856,-0.028188865398167725,0.37703081232492996,-0.15928705440900565,0.5039388650408038,-0.1428327499359686,0.3497069307677639,0.19290056448111156,-0.1764963343910712,0.004979000135482995,0.16842105263157894,0.053863037752414404,0.11476146117506157,0.1742054650853365,0.011764705882352943,0.2667158832624134,0.35041665818772677,0.007121182312874935,0.0936844536184068,0.1863792633950655,0.009914917909478013,0.08097688628081906,0.14157700355087427,0.014716054475382476,0.05836601726352332,0.02095446668706685,0.0966989250776224,0.004,0.026817168585273336,0.08980510207075708,False,0.5266053598002254,0.46010151548328604,0.5897401043842342,0.0,0.47422778053286035,0.5811285988405083,False,0.016391638746632433,-0.008311488500696958,0.04198399302187091,0.2,-0.004848864118886981,0.036587745691961965,False,1698,,33.715412855148315
