,seconds
Cancer type only,0.6876463890075684
LR (panel),49.60555052757263
Elastic net (panel),384.46932458877563
RF (panel),166.52731895446777
GBM (panel),26.590179920196533
MLP (panel),75.42430996894836
Linear SVM (panel),22.178589344024658
MLP tuned (panel),601.1068089008331
Barthel 2017 score (published),0.0754692554473877
LR (Barthel 2017 genes),18.217814445495605
"LR (EXTEND gene set, TERT removed)",7.493287563323975
