task,model,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref
alt,Cancer type only,0.639536870076872,0.3666441519611844,0.10116731517509728,0.480150020878758,0.4830577298567553,0.47423887587822017,0.6202231027174084,0.6583502578216445,0.0,0.4355126930572359,0.5257175813841531,0.0,0.34375991939703326,0.4003179640251969,1.4593890245118147e-05,,,,,,,,,,,,,,,,,,,,,
alt,Cancer + molecular subtype only,0.8884881844927399,0.6907675403100634,0.7392996108949417,0.7505323365530899,0.8867520259879391,0.4736083588542605,0.869471702888235,0.9074918541014203,0.0010149253539470855,0.7169643456717752,0.7846283017334309,0.0017311216064446599,0.6446701144083624,0.7486231355969872,0.003736273386126556,0.24967077915915345,0.2234805131125241,0.27644506659074364,0.0,0.22798440416310775,0.2727974439277466,False,0.27140366187163073,0.2323214237170165,0.31300529815748646,0.0,0.2372831069302499,0.3070109956364598,False,0.3256221698458534,0.2641567033857369,0.3923293236854041,0.0,0.27356118749517866,0.3806029047300587,False
alt,Expression only,0.9487456897915283,0.8512741122462284,0.8715953307392996,0.92447183098822,0.94505209683272,0.88263375968294,0.935718420802885,0.9611225522761064,0.001253220477096948,0.9053029425891748,0.9430958608933413,0.0015436388300189175,0.8104355714179644,0.8927898863824884,0.001955502712123287,0.30978665970706404,0.2861335452848692,0.33272302363101447,0.0,0.2909161367878271,0.32947122836987125,False,0.4450918156043908,0.39562712072456224,0.491886134633389,0.0,0.40507744610667457,0.4855437803376251,False,0.48280022897546193,0.43224922702182916,0.5328505078316782,0.0,0.4376952244977771,0.5232409835969437,False
alt,Expression excluding 1p/17p,0.9482521906931132,0.8525388885423748,0.8715953307392996,0.9224279349461109,0.9461234081523335,0.8742568906503333,0.9357718832052133,0.9605602480149316,0.001937083336602936,0.9040473706229127,0.9418150030790389,0.002877857542027296,0.8126345357100393,0.8926603058056594,0.0023374051657988008,0.3092691816139951,0.28564558223403247,0.33207063996710007,0.0,0.2901181550726013,0.32864967890924046,False,0.44301311713374514,0.3934053763968375,0.48850527979564695,0.0,0.40307931097464655,0.48365501821563284,False,0.48387846569071874,0.4333209083942414,0.5327527823974058,0.0,0.4401019924626439,0.5241891946553319,False
alt,Expression excluding ATRX/DAXX cytobands,0.9488469203758185,0.8495073718170193,0.8754863813229572,0.9244058988578292,0.9450866552623849,0.882363538101243,0.9358017778621366,0.96110372971434,0.0007282646187484915,0.9052307386511543,0.943029775938388,0.0011830102508198364,0.808921128333656,0.8923653683588512,0.007220781400441395,0.3098758122172661,0.28605936224731904,0.33289076587263927,0.0,0.29101262218847873,0.3294457625510107,False,0.44499229861088363,0.39513175486127544,0.4920888133535311,0.0,0.4038364872302559,0.48523382688049743,False,0.48118890151902544,0.4301434010817585,0.5316634410378286,0.0,0.4347946124193531,0.5218460584025534,False
alt,CNV only,0.8852867672645598,0.7067455754925032,0.669260700389105,0.8425128009725517,0.9175954244639124,0.6898756980724193,0.8626482869887064,0.9079263547499288,0.007573519118675421,0.8112692258314211,0.8740314145434417,0.009553066778372452,0.6565046303479971,0.7662615780358668,0.009002574860894882,0.24646954224795167,0.21822617126949476,0.2750775837524913,0.0,0.2239204707222169,0.2709692828445794,False,0.36296285620447943,0.312451129560289,0.41733597767689473,0.0,0.3229096148753783,0.4059549351290966,False,0.3406850524052613,0.27787700894330686,0.4062065967529976,0.0,0.2917014273499588,0.39455008573463274,False
alt,"CNV only, label loci excluded",0.8851349213881244,0.7063709084351059,0.6731517509727627,0.8424020282819029,0.917474469960085,0.6897856242118537,0.8622911328335073,0.9079193951472588,0.0075030491308553425,0.8110616336053612,0.8736304269921348,0.009441519763203537,0.6560162639055656,0.7660359589060647,0.008922608545066225,0.24632066369301828,0.21785272531713645,0.2748801050267312,0.0,0.22366201638670088,0.2707804245357628,False,0.3628567429686399,0.31234550981578096,0.41726319860873307,0.0,0.3228827024891535,0.40599440144282395,False,0.3403184179159148,0.2776869125341829,0.4059198170281085,0.0,0.2911035186078294,0.39413852681225026,False
alt,Expression residualized for CNV,0.9508272436809971,0.8563924922857103,0.9027237354085603,0.9281060205365677,0.9464862716638156,0.8907404071338497,0.9381520673183386,0.9632110657682452,0.0016098010452843326,0.9105111041640048,0.9465941853119472,0.002774489718393534,0.8157753083020117,0.8978465193672467,0.0023360445437422767,0.3118614311473854,0.2881632975862833,0.3341786877985511,0.0,0.29334076745436716,0.3314485463920787,False,0.4487301218952846,0.39998698788561954,0.4956131677338082,0.0,0.4089243072512109,0.4898669931901552,False,0.48769531170888913,0.4387539995398367,0.5350365643513739,0.0,0.443852487377587,0.5294570039455164,False
alt,Expression + CNV,0.933807851697194,0.7942034550442687,0.8560311284046692,0.9108408584605739,0.9401793582499611,0.8511979823455234,0.9172990414729051,0.9490522286545823,0.005319090467078596,0.88756830420137,0.9324632905339952,0.008162418269794615,0.7428628722284214,0.8532776218397704,0.009962212114706966,0.29465964063142575,0.2681897124418714,0.3203062225174781,0.0,0.27299911423238754,0.3161823415899528,False,0.4310430137072676,0.38019643078259474,0.4810412797304239,0.0,0.3906383189617353,0.47451202718225444,False,0.4285468773165979,0.36873290616789783,0.49116985180662925,0.0,0.3773558926047119,0.47924710488145467,False
