task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt_noATRX,LR (whole transcriptome),LR (panel),AUROC,0.9499667837145298,0.8731517509727627,0.07687764385815063,0.05867482838252506,0.09500395431969891,0.0,0.06210433077093423,0.09191420707981394,False
alt_noATRX,LR (whole transcriptome),LR (panel),within_AUROC,0.9267936450862277,0.8355462204307615,0.09125872746054896,0.06529104643083612,0.1178771034134686,0.0,0.06983329904463481,0.11408921828471519,False
alt_noATRX,LR (whole transcriptome),LR (panel),AUPRC,0.8561448231586477,0.7079348498593484,0.1449489501672939,0.10149911847168935,0.1899319242672822,0.0,0.10722514873691472,0.18313356103956432,False
alt_noATRX,GBM (panel),LR (panel),AUROC,0.8922084084654076,0.8731517509727627,0.01910766505330423,0.0024208345196291975,0.03696735313656641,0.026,0.004177659675429513,0.03498149378380943,False
alt_noATRX,GBM (panel),LR (panel),within_AUROC,0.8536451684171011,0.8355462204307615,0.018026311992626196,-0.006353920311608796,0.044383133016189937,0.15,-0.002256082635285333,0.03985269957346539,False
alt_noATRX,GBM (panel),LR (panel),AUPRC,0.7524075758794997,0.7079348498593484,0.0423392709237049,-0.0031007888953955586,0.08488146074943237,0.066,0.005421931788603224,0.07931587860694476,False
alt_noATRX,Elastic net (panel),LR (panel),AUROC,0.872278637183259,0.8731517509727627,-0.0008786118756129208,-0.0028414159627977555,0.0010822182151782403,0.388,-0.002524754041314753,0.0007978235424377472,True
alt_noATRX,Elastic net (panel),LR (panel),within_AUROC,0.8332843388617182,0.8355462204307615,-0.002280162845066112,-0.005193588733434099,0.0004112679322111704,0.12,-0.004642743900845581,0.00011859212638292135,True
alt_noATRX,Elastic net (panel),LR (panel),AUPRC,0.7072522269433237,0.7079348498593484,-0.0008613011357509647,-0.0085078128388125,0.007327031831858424,0.794,-0.006972654236471465,0.005718270592411382,True
alt_noATRX,Linear SVM (panel),LR (panel),AUROC,0.8711840814906203,0.8731517509727627,-0.0019484230173041038,-0.004733004333934454,0.0007470500775046764,0.156,-0.004252633576919474,0.0003929012052766961,True
alt_noATRX,Linear SVM (panel),LR (panel),within_AUROC,0.8346826179052812,0.8355462204307615,-0.0009032104989024412,-0.004333470784448223,0.0027127285064547034,0.614,-0.0038725848313257206,0.002065262650754673,True
alt_noATRX,Linear SVM (panel),LR (panel),AUPRC,0.7020380954243263,0.7079348498593484,-0.005943165370472077,-0.013506976788358967,0.0021509324785071713,0.144,-0.012542020519862246,0.000618098792792269,True
