model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[BRCA],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,alt_pheno,0.7779587071402236,0.3800303391831935,0.5063291139240507,0.3980067587283524,0.43594527363184077,0.29338842975206614,0.7723357297939454,0.7827928495350456,0.005092077963848052,0.28375750919157877,0.5056854314388467,0.0,0.35922829341051077,0.42385128165453223,0.0018153109232376598,,,,,,,,,,,,,,,,,,,,,,697,79,0.3795349597930908
LR (panel),alt_pheno,0.7111343246896891,0.3086808012871495,0.4050632911392405,0.5171389205001385,0.4993781094527363,0.5661157024793388,0.6666231412068331,0.7523457662529188,0.00812769824530894,0.4014842963518187,0.6387181121518507,0.038311496289336354,0.24978306972225411,0.4041925697289707,0.01746966227266176,-0.06697725410675516,-0.11059972963008481,-0.024304616771127798,0.002,-0.10340983572979393,-0.029331039285568017,False,0.12151972678761616,-0.03464259758757517,0.2749585330313243,0.122,-0.006104170314118511,0.256056890218993,False,-0.06837569561597898,-0.1394700372783459,0.013486955579340714,0.088,-0.13061691392854255,-0.0022403664457527595,False,697,79,12.168654680252075
Elastic net (panel),alt_pheno,0.7250215066978002,0.3311942510910666,0.4430379746835443,0.5510597671466714,0.5261194029850746,0.6198347107438017,0.6821033550448568,0.7630453484085044,0.007494253874035059,0.4322767577070658,0.6670924952765498,0.05277378251633187,0.26762995453451777,0.41294256962436193,0.020050444559835075,-0.05297381303510713,-0.09519734955552828,-0.01427379050428085,0.002,-0.08774937528163534,-0.01834111670968012,False,0.15521088199034153,0.00755137663952963,0.29823456489546396,0.034,0.03959792314089386,0.27763387060299666,False,-0.0487652355064713,-0.11578160048204672,0.023181533929227924,0.204,-0.10581985115430137,0.013480132249129018,False,697,79,48.33212757110596
GBM (panel),alt_pheno,0.7875752734423006,0.47013888595413417,0.5063291139240507,0.5807518492581083,0.5261194029850746,0.731404958677686,0.7592878210642743,0.8152759002089222,0.008223983957972488,0.4547703427510541,0.6957060258640813,0.055301358951983126,0.42717084711416,0.5158767000795151,0.024679630339581305,0.009862613166195569,-0.02018096350006147,0.03876198230306001,0.536,-0.0145375035844497,0.03433441890950802,False,0.1843585536394275,0.03135502381786084,0.3276245354058154,0.016,0.06146745196305861,0.30818798237551237,False,0.08459681612997372,0.0343252057040255,0.13171324646414165,0.0,0.04039034855655621,0.1254929112731602,False,697,79,5.657844543457031
Linear SVM (panel),alt_pheno,0.7169923395190693,0.3148209678327029,0.4430379746835443,0.5189207007484571,0.5167910447761194,0.5247933884297521,0.6773345008397854,0.7559522346483143,0.02022356251418067,0.4017659936206067,0.6344739143359449,0.026180776802136752,0.25486689432352533,0.4145344939237494,0.018628109555858207,-0.06081347548236451,-0.10087921428864037,-0.021121881528818966,0.0,-0.0932192454221457,-0.02660071279341284,False,0.12300899233670357,-0.02279436304547645,0.27244771833646997,0.1,0.00048770991085628256,0.24352342484790135,False,-0.061533400166610255,-0.13341534011801465,0.02359625421582516,0.152,-0.12231550533668618,0.010436459777789347,False,697,79,3.263841390609741
"LR (signature, K=60)",alt_pheno,0.7670312564008029,0.3216236781506605,0.4430379746835443,0.6330057009673042,0.6138059701492538,0.6859504132231405,0.7213131375199705,0.8087337675638032,0.03299737571368593,0.5189485011708321,0.7447845997286295,0.03647003772502012,0.2648445929255144,0.40700669608871354,0.016827547838944086,-0.011400444471754536,-0.057012975707672775,0.03087568104543034,0.616,-0.04956832985129654,0.024626193109663706,False,0.2394320101289739,0.08252920697101009,0.39076177944587903,0.006,0.10310067605520785,0.3732955913249004,False,-0.055861525420496334,-0.12923545183337215,0.021735159685321314,0.158,-0.11895330151318502,0.010855286837481411,False,697,79,
LR (whole transcriptome),alt_pheno,0.8463192822907706,0.5737514743129215,0.6329113924050633,0.7161169956668271,0.6791044776119403,0.8181818181818182,0.8291907336856336,0.8642015894473803,0.010532035972801165,0.6130746218504253,0.8066603611342116,0.024865981849298904,0.5179842831578502,0.6349226534486211,0.0035675887446494697,0.06843114784318546,0.049380402277661675,0.08735943836794893,0.0,0.052844004751956074,0.08374196059153662,False,0.32139135335054925,0.17119247056506318,0.4693865031513984,0.0,0.20167657405786318,0.44490970732846036,False,0.1895331241752736,0.12789733092318886,0.2486649216461101,0.0,0.13729069612226694,0.24080919441576748,False,697,79,
