model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,alt_pan,0.9093118514053407,0.33576248155547095,0.8704318936877077,0.49266539627530986,0.49701069583398133,0.48383174202846335,0.9076852209402193,0.9110536816029196,0.0018583556977293124,0.45065811163533737,0.5382544553520602,0.0003497560952052619,0.31852911957708635,0.3646510935336623,0.0005122985593478789,,,,,,,,,,,,,,,,,,,,,,6788,301,0.9138896465301514
LR (panel),alt_pan,0.9393286957252097,0.6733673455696438,0.8870431893687708,0.8676345298471839,0.9008864237209061,0.8000360295442263,0.9307725340791473,0.9474471303967505,0.0034117429644867745,0.8372784085958207,0.8944520115558772,0.0061862285572715356,0.6247671630030871,0.7192686453080259,0.00979530945503205,0.02986772804489634,0.02126323948689613,0.03818375314390604,0.0,0.022638146213203304,0.03713052222513001,False,0.3742542438325505,0.3211581577988845,0.42213132023271005,0.0,0.330262449698673,0.41399930816393044,False,0.3349554041030661,0.278271956355134,0.38350251549272457,0.0,0.29011315732709325,0.37582825367553513,False,6788,301,42.26955842971802
Elastic net (panel),alt_pan,0.9396451989079104,0.6769064432452884,0.8837209302325582,0.8710309800786948,0.9075043630017452,0.796883444424428,0.9312696694180592,0.947340912338349,0.0036824071018849284,0.8410648803242035,0.8985428812140998,0.006550144468031712,0.6271132790538734,0.7240567414435165,0.008876945304610773,0.030182151934843363,0.021481712466589205,0.03849785566533022,0.0,0.023029818901795444,0.037326710666413326,False,0.37748741494119137,0.3249530395150733,0.4257671956107451,0.0,0.33362353334019107,0.41815006194516147,False,0.3384373956509186,0.28176465564218106,0.388481571664606,0.0,0.2934713246281798,0.38119137561921773,False,6788,301,449.9469153881073
GBM (panel),alt_pan,0.945138424049735,0.6892104810102357,0.8870431893687708,0.8638266284774188,0.9088521417586785,0.7722932804900018,0.9377957806745615,0.9524261402949011,0.0033328943060894974,0.8333010362792072,0.8901573316221314,0.007357583551662522,0.6509409070261948,0.7279222463458135,0.014073129230663794,0.03585676361667879,0.028287433543294133,0.04320418245128129,0.0,0.029475383171146806,0.04220262656670354,False,0.3703167739044777,0.31964939187590974,0.41940528189540227,0.0,0.327633456561305,0.4087976580587996,False,0.35072008007638067,0.30102042810011703,0.3930848823112053,0.0,0.30945888461547527,0.3873544894319627,False,6788,301,17.898842334747314
Linear SVM (panel),alt_pan,0.9404359447235898,0.6669091992376048,0.8837209302325582,0.8711391452324662,0.9053617403625179,0.8015672851738426,0.932631183655325,0.9481269592596898,0.0035482208823216857,0.8405044584588431,0.8988028040944466,0.006562735823731182,0.6175715414169061,0.7153544933372543,0.006388076675633696,0.030987272526140964,0.02262180891299584,0.038895059477503435,0.0,0.024257177785163973,0.03784912016724474,False,0.37763276855556144,0.32600171767768527,0.424904046732591,0.0,0.333848016963457,0.41836975744882454,False,0.3289176439158764,0.26973012966265447,0.3813194175128525,0.0,0.28185423598212095,0.3727099678717134,False,6788,301,20.224542140960693
"LR (signature, K=60)",alt_pan,0.9479265200475062,0.7201195666812679,0.9102990033222591,0.9156746781100592,0.9381749693293937,0.8699333453431815,0.9410206177752899,0.954300128496195,0.0025120538914067065,0.890433146416352,0.9365306985979274,0.004672252682071409,0.6684125597149685,0.7728482856129554,0.018442402695274994,0.03852705641285126,0.03163620878352676,0.0449338300931021,0.0,0.03296576541787894,0.043960422762212376,False,0.42220048356398987,0.37307107075879636,0.4698269604688949,0.0,0.378676230861787,0.4622111114706987,False,0.3831384051487805,0.32369310205397894,0.44126382620233595,0.0,0.33459717153095675,0.4293143218729563,False,6788,301,
LR (whole transcriptome),alt_pan,0.9463352977357731,0.7667425886679129,0.9036544850498339,0.9285009784405877,0.947695816702089,0.8894793730859305,0.9391980997517653,0.9525955309545746,0.0020648343015662973,0.9074338750285496,0.9472094499044245,0.003937430543241364,0.7252572528665476,0.8034790515194916,0.006876604038018215,0.036980797014422404,0.030085554446485554,0.043114282487796994,0.0,0.031188635896889645,0.04238433421916665,False,0.43534459280735077,0.3856558048708938,0.48046331651494273,0.0,0.39317300985586556,0.4731791787187541,False,0.42757581396650235,0.37985950076214414,0.47061592442093375,0.0,0.3872800115694192,0.46235600990325215,False,6788,301,
